1,Liverpool,Tottanham Spurs,"2022,10,09",15:00,premier league,fotboll
2,Djurgården,AIK,"2022,10,10",14:00,allsvenskan,fotboll
3,Arsenal,Leeds,"2022,10,16",17:00,premier league,fotboll
4,Golden State Warriors,Los Angeles Lakers,"2022,11,10",17:00,NBA,basketball
5,Sirius,Häcken,"2022,10,19",17:30,allsvenskan,fotboll
6,Mallorca,Espanyol,"2022,10,28",21:00,LaLiga,fotboll
7,Bremen,Hertha Berlin,"2022,10,28",20:30,Bundesliga,fotboll
8,Leicester,Manchester City,"2022,10,29",13:30,premier league,fotboll
9,Bournemouth,Tottenham,"2022,10,29",16:00,premier league,fotboll
10,Brentford,Wolves,"2022,10,29",16:00,premier league,fotboll
11,Brighton,Chelsea,"2022,10,29",16:00,premier league,fotboll
12,Crystal Palace,Southampton,"2022,10,29",16:00,premier league,fotboll
13,Newcastle,Aston Villa,"2022,10,29",16:00,premier league,fotboll
14,Fulham,Everton,"2022,10,29",18:30,premier league,fotboll
15,Liverpool,Leeds,"2022,10,29",20:45,premier league,fotboll
16,Degerfors,IFK Värnamo,"2022,10,29",15:00,allsvenskan,fotboll
17,Bayern,Mainz,"2022,10,29",15:30,Bundesliga,fotboll
18,RB Leipzig,Leverkusen,"2022,10,29",15:30,Bundesliga,fotboll
18,Eintrach Frankfurt,Dortmund,"2022,10,29",18:30,Bundesliga,fotboll
19,Djurgården,HC Vita Hästen,"2022,10,29",18:00,HockeyAllsvenskan,hockey
20,Frölunda,Malmö Redhawks,"2022,10,29",15:15,SHL,hockey
21,Djurgården,HC Vita Hästen,"2022,10,29",18:00,HockeyAllsvenskan,hockey
22,Minesota Timberwolves,Los Angeles Lakers,"2022,10,29",02:00,NBA,basketball
23,Denver Nuggets,New York Knicks,"2022,10,29",03:00,NBA,basketball
24,Denver Nuggets,Utah Jazz,"2022,10,29",03:00,NBA,basketball
25,Boston Celtics,Cleveland Cavaliers,"2022,10,29",01:30,NBA,basketball
